"COUNTRY","Country","INDICATOR","Indicator","YEAR","Year","Value","Flag Codes","Flags"
"ALB","Albania","IND-ECO-VA","Share of value added by the transport sector","2000","2000",3.5793726496826,,
"ALB","Albania","IND-ECO-VA","Share of value added by the transport sector","2001","2001",4.0065673728587,,
"ALB","Albania","IND-ECO-VA","Share of value added by the transport sector","2002","2002",3.5164855289243,,
"ALB","Albania","IND-ECO-VA","Share of value added by the transport sector","2003","2003",2.8984258517983,,
"ALB","Albania","IND-ECO-VA","Share of value added by the transport sector","2004","2004",3.2721741532521,,
"ALB","Albania","IND-ECO-VA","Share of value added by the transport sector","2005","2005",3.5807204131154,,
"ALB","Albania","IND-ECO-VA","Share of value added by the transport sector","2006","2006",3.7495043758386,,
"ALB","Albania","IND-ECO-VA","Share of value added by the transport sector","2007","2007",3.9689895387054,,
"ALB","Albania","IND-ECO-VA","Share of value added by the transport sector","2008","2008",3.8658828502466,,
"ALB","Albania","IND-ECO-VA","Share of value added by the transport sector","2009","2009",4.1612626884482,,
"ALB","Albania","IND-ECO-VA","Share of value added by the transport sector","2010","2010",4.35957621614,,
"ALB","Albania","IND-ECO-VA","Share of value added by the transport sector","2011","2011",4.7112609941496,,
"ALB","Albania","IND-ECO-VA","Share of value added by the transport sector","2012","2012",4.8642188721726,,
"ALB","Albania","IND-ECO-VA","Share of value added by the transport sector","2013","2013",3.6146209021002,,
"ALB","Albania","IND-ECO-VA","Share of value added by the transport sector","2014","2014",3.4417809994296,,
"ALB","Albania","IND-ECO-VA","Share of value added by the transport sector","2015","2015",3.4746805708324,,
"ALB","Albania","IND-ECO-VA","Share of value added by the transport sector","2016","2016",3.4980370940111,,
"ALB","Albania","IND-ECO-VA","Share of value added by the transport sector","2017","2017",3.6558162912782,,
"AUS","Australia","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2000","2000",12.187130772632,,
"AUS","Australia","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2001","2001",11.638006938711,,
