"COUNTRY","Country","INDICATOR","Indicator","YEAR","Year","Value","Flag Codes","Flags"
"ALB","Albania","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2000","2000",421.85106974361,,
"ALB","Albania","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2001","2001",393.85619392462,,
"ALB","Albania","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2002","2002",406.8797654031,,
"ALB","Albania","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2003","2003",345.59766281365,,
"ALB","Albania","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2004","2004",321.36514988016,,
"ALB","Albania","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2005","2005",295.7105192604,,
"ALB","Albania","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2006","2006",216.29918360098,,
"ALB","Albania","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2007","2007",197.10264891335,,
"ALB","Albania","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2008","2008",177.92896046933,,
"ALB","Albania","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2009","2009",192.086368341,,
"ALB","Albania","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2010","2010",187.94220094382,,
"ALB","Albania","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2011","2011",182.72812966123,,
"ALB","Albania","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2012","2012",183.56615436559,,
"ALB","Albania","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2013","2013",193.01358705232,,
"ALB","Albania","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2014","2014",187.37628340655,,
"ALB","Albania","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2015","2015",215.16062664278,,
"ALB","Albania","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2016","2016",194.0724472998,,
"ALB","Albania","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2017","2017",177.56510818044,,
"ALB","Albania","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2018","2018",145.63372535482,,
"ALB","Albania","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2019","2019",141.99146462557,,
"ALB","Albania","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2020","2020",101.27418708335,,
"ALB","Albania","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2000","2000",0.47628007136228,,
"ALB","Albania","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2001","2001",0.50540574013299,,
"ALB","Albania","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2002","2002",0.58091255027024,,
"ALB","Albania","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2003","2003",0.63234303280414,,
"ALB","Albania","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2004","2004",0.76197439063027,,
"ALB","Albania","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2005","2005",0.79066919432161,,
"ALB","Albania","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2006","2006",0.64302415300411,,
"ALB","Albania","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2007","2007",0.70857506876223,,
"ALB","Albania","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2008","2008",0.77769114522579,,
"ALB","Albania","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2009","2009",0.79025618621092,,
"ALB","Albania","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2010","2010",0.7694795197151,,
"ALB","Albania","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2011","2011",0.8107545276651,,
"ALB","Albania","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2012","2012",0.77975079997559,,
"ALB","Albania","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2013","2013",0.85177258615616,,
"ALB","Albania","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2014","2014",0.85793034795563,,
"ALB","Albania","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2015","2015",0.85050072846802,,
"ALB","Albania","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2016","2016",0.8003821840749,,
"ALB","Albania","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2017","2017",0.80455353951703,,
"ALB","Albania","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2018","2018",0.77005598707218,,
"ALB","Albania","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2019","2019",0.76622062083442,,
"ALB","Albania","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2020","2020",0.54001111405152,,
