"COUNTRY","Country","VARIABLE","Variable","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AZE","Azerbaijan","T-ACCI-CAS","Road casualties (injured + killed)","2000","2000","PER","Persons","0","Units",,,2199,,
"AZE","Azerbaijan","T-ACCI-CAS","Road casualties (injured + killed)","2001","2001","PER","Persons","0","Units",,,2787,,
"AZE","Azerbaijan","T-ACCI-CAS","Road casualties (injured + killed)","2002","2002","PER","Persons","0","Units",,,3128,,
"AZE","Azerbaijan","T-ACCI-CAS","Road casualties (injured + killed)","2003","2003","PER","Persons","0","Units",,,3415,,
"AZE","Azerbaijan","T-ACCI-CAS","Road casualties (injured + killed)","2004","2004","PER","Persons","0","Units",,,3577,,
"AZE","Azerbaijan","T-ACCI-CAS","Road casualties (injured + killed)","2005","2005","PER","Persons","0","Units",,,4733,,
"AZE","Azerbaijan","T-ACCI-CAS","Road casualties (injured + killed)","2006","2006","PER","Persons","0","Units",,,4633,,
"AZE","Azerbaijan","T-ACCI-CAS","Road casualties (injured + killed)","2007","2007","PER","Persons","0","Units",,,4539,,
"AZE","Azerbaijan","T-ACCI-CAS","Road casualties (injured + killed)","2008","2008","PER","Persons","0","Units",,,4284,,
"AZE","Azerbaijan","T-ACCI-CAS","Road casualties (injured + killed)","2009","2009","PER","Persons","0","Units",,,3974,,
"AZE","Azerbaijan","T-ACCI-CAS","Road casualties (injured + killed)","2010","2010","PER","Persons","0","Units",,,3796,,
"AZE","Azerbaijan","T-ACCI-CAS","Road casualties (injured + killed)","2011","2011","PER","Persons","0","Units",,,4047,,
"AZE","Azerbaijan","T-ACCI-CAS","Road casualties (injured + killed)","2012","2012","PER","Persons","0","Units",,,4165,,
"AZE","Azerbaijan","T-ACCI-CAS","Road casualties (injured + killed)","2013","2013","PER","Persons","0","Units",,,4112,,
"AZE","Azerbaijan","T-ACCI-CAS","Road casualties (injured + killed)","2014","2014","PER","Persons","0","Units",,,3800,,
"AZE","Azerbaijan","T-ACCI-CAS","Road casualties (injured + killed)","2015","2015","PER","Persons","0","Units",,,3159,,
"AZE","Azerbaijan","T-ACCI-CAS","Road casualties (injured + killed)","2016","2016","PER","Persons","0","Units",,,2762,,
"AZE","Azerbaijan","T-ACCI-CAS","Road casualties (injured + killed)","2017","2017","PER","Persons","0","Units",,,2469,,
"AZE","Azerbaijan","T-ACCI-CAS","Road casualties (injured + killed)","2018","2018","PER","Persons","0","Units",,,2433,,
"AZE","Azerbaijan","T-ACCI-CAS","Road casualties (injured + killed)","2019","2019","PER","Persons","0","Units",,,2523,,
"AZE","Azerbaijan","T-ACCI-CAS","Road casualties (injured + killed)","2020","2020","PER","Persons","0","Units",,,2106,,
"AZE","Azerbaijan","T-ACCI-CAS","Road casualties (injured + killed)","2021","2021","PER","Persons","0","Units",,,2158,,
"RUS","Russian Federation","T-ACCI-KIL","Road fatalities (30 days)","2000","2000","PER","Persons","0","Units",,,29594,,
"RUS","Russian Federation","T-ACCI-KIL","Road fatalities (30 days)","2001","2001","PER","Persons","0","Units",,,30916,,
"RUS","Russian Federation","T-ACCI-KIL","Road fatalities (30 days)","2002","2002","PER","Persons","0","Units",,,33243,,
"RUS","Russian Federation","T-ACCI-KIL","Road fatalities (30 days)","2003","2003","PER","Persons","0","Units",,,35602,,
"RUS","Russian Federation","T-ACCI-KIL","Road fatalities (30 days)","2004","2004","PER","Persons","0","Units",,,34506,,
"RUS","Russian Federation","T-ACCI-KIL","Road fatalities (30 days)","2005","2005","PER","Persons","0","Units",,,33957,,
"RUS","Russian Federation","T-ACCI-KIL","Road fatalities (30 days)","2006","2006","PER","Persons","0","Units",,,32724,,
"RUS","Russian Federation","T-ACCI-KIL","Road fatalities (30 days)","2007","2007","PER","Persons","0","Units",,,33308,,
"RUS","Russian Federation","T-ACCI-KIL","Road fatalities (30 days)","2008","2008","PER","Persons","0","Units",,,29936,,
"RUS","Russian Federation","T-ACCI-KIL","Road fatalities (30 days)","2009","2009","PER","Persons","0","Units",,,27659,,
"RUS","Russian Federation","T-ACCI-KIL","Road fatalities (30 days)","2010","2010","PER","Persons","0","Units",,,26567,,
"RUS","Russian Federation","T-ACCI-KIL","Road fatalities (30 days)","2011","2011","PER","Persons","0","Units",,,27953,,
"RUS","Russian Federation","T-ACCI-KIL","Road fatalities (30 days)","2012","2012","PER","Persons","0","Units",,,27991,,
"RUS","Russian Federation","T-ACCI-KIL","Road fatalities (30 days)","2013","2013","PER","Persons","0","Units",,,27025,,
"RUS","Russian Federation","T-ACCI-KIL","Road fatalities (30 days)","2014","2014","PER","Persons","0","Units",,,26958,,
"RUS","Russian Federation","T-ACCI-KIL","Road fatalities (30 days)","2015","2015","PER","Persons","0","Units",,,23114,,
"RUS","Russian Federation","T-ACCI-KIL","Road fatalities (30 days)","2016","2016","PER","Persons","0","Units",,,20308,,
